,Date,Prices
635,2019-01-10,3687.365479
636,2019-01-11,3661.301025
637,2019-01-12,3552.953125
638,2019-01-13,3706.052246
639,2019-01-14,3630.675293
640,2019-01-15,3655.006836
641,2019-01-16,3678.563965
642,2019-01-17,3657.839355
643,2019-01-18,3728.568359
644,2019-01-19,3601.013672
645,2019-01-20,3576.0324709999995
646,2019-01-21,3604.577148
647,2019-01-22,3585.123047
648,2019-01-23,3600.865479
649,2019-01-24,3599.7658690000003
650,2019-01-25,3602.460449
651,2019-01-26,3583.96582
652,2019-01-27,3470.450439
653,2019-01-28,3448.116943
654,2019-01-29,3486.181641
655,2019-01-30,3457.792725
656,2019-01-31,3487.945313
657,2019-02-01,3521.060791
658,2019-02-02,3464.013428
659,2019-02-03,3459.154053
660,2019-02-04,3466.357422
661,2019-02-05,3413.767822
662,2019-02-06,3399.47168
663,2019-02-07,3666.780273
664,2019-02-08,3671.203613
665,2019-02-09,3690.188232
666,2019-02-10,3648.430664
667,2019-02-11,3653.528564
668,2019-02-12,3632.070557
669,2019-02-13,3616.880859
670,2019-02-14,3620.810791
671,2019-02-15,3629.787598
672,2019-02-16,3673.836182
673,2019-02-17,3915.714355
674,2019-02-18,3947.094482
675,2019-02-19,3999.820557
676,2019-02-20,3954.118164
677,2019-02-21,4005.526611
678,2019-02-22,4142.526855
679,2019-02-23,3810.42749
680,2019-02-24,3882.696289
681,2019-02-25,3854.35791
682,2019-02-26,3851.047363
683,2019-02-27,3854.7854
684,2019-02-28,3859.58374
685,2019-03-01,3864.415039
686,2019-03-02,3847.175781
687,2019-03-03,3761.557129
688,2019-03-04,3896.375
689,2019-03-05,3903.942627
690,2019-03-06,3911.484375
691,2019-03-07,3901.131592
692,2019-03-08,3963.313721
693,2019-03-09,3951.599854
694,2019-03-10,3905.227295
695,2019-03-11,3909.15625
696,2019-03-12,3906.717285
697,2019-03-13,3924.369141
698,2019-03-14,3960.911133
699,2019-03-15,4048.72583
700,2019-03-16,4025.229004
701,2019-03-17,4032.507324
702,2019-03-18,4071.190186
703,2019-03-19,4087.476318
704,2019-03-20,4029.326904
705,2019-03-21,4023.968262
706,2019-03-22,4035.826416
707,2019-03-23,4022.168213
708,2019-03-24,3963.070557
709,2019-03-25,3985.080811
710,2019-03-26,4087.066162
711,2019-03-27,4069.107178
712,2019-03-28,4098.374512
713,2019-03-29,4106.660156
714,2019-03-30,4105.404297
715,2019-03-31,4158.183105
716,2019-04-01,4879.87793
717,2019-04-02,4973.021973
718,2019-04-03,4922.798828
719,2019-04-04,5036.681152
720,2019-04-05,5059.817383
721,2019-04-06,5198.896973
722,2019-04-07,5289.770996
723,2019-04-08,5204.958496
724,2019-04-09,5324.551758
725,2019-04-10,5064.487793
726,2019-04-11,5089.539063
727,2019-04-12,5096.586426
728,2019-04-13,5167.722168
729,2019-04-14,5067.108398
730,2019-04-15,5235.55957
731,2019-04-16,5251.937988
732,2019-04-17,5298.385742
733,2019-04-18,5303.8125
734,2019-04-19,5337.886229999999
735,2019-04-20,5314.53125
736,2019-04-21,5399.365234
737,2019-04-22,5572.362305
738,2019-04-23,5464.866699
739,2019-04-24,5210.515625
740,2019-04-25,5279.348145
741,2019-04-26,5268.291016
742,2019-04-27,5285.13916
743,2019-04-28,5247.352539
744,2019-04-29,5350.726563
745,2019-04-30,5402.697266
746,2019-05-01,5505.283691
747,2019-05-02,5768.289551
748,2019-05-03,5831.16748
749,2019-05-04,5795.708496
750,2019-05-05,5746.807129
751,2019-05-06,5829.501465
752,2019-05-07,5982.45752
753,2019-05-08,6174.528809
754,2019-05-09,6378.849121
755,2019-05-10,7204.771484
756,2019-05-11,6972.371581999999
757,2019-05-12,7814.9150389999995
758,2019-05-13,7994.416016
759,2019-05-14,8205.167968999998
760,2019-05-15,7884.909179999999
761,2019-05-16,7343.895507999999
762,2019-05-17,7271.208008
763,2019-05-18,8197.689453
764,2019-05-19,7978.309082
765,2019-05-20,7963.327636999999
766,2019-05-21,7680.066405999999
767,2019-05-22,7881.846679999999
768,2019-05-23,7987.371581999999
769,2019-05-24,8052.543944999999
770,2019-05-25,8673.21582
771,2019-05-26,8805.77832
772,2019-05-27,8719.961914
773,2019-05-28,8659.487305
774,2019-05-29,8319.472656
775,2019-05-30,8574.501953
776,2019-05-31,8564.016602
777,2019-06-01,8742.958008
778,2019-06-02,8208.995117
779,2019-06-03,7707.770995999999
780,2019-06-04,7824.231444999999
781,2019-06-05,7822.023438
782,2019-06-06,8043.951171999999
783,2019-06-07,7954.127929999999
784,2019-06-08,7688.077147999999
785,2019-06-09,8000.329589999999
786,2019-06-10,7927.714355
787,2019-06-11,8145.857421999999
788,2019-06-12,8230.923827999999
789,2019-06-13,8693.833008
790,2019-06-14,8838.375
791,2019-06-15,8994.488281
792,2019-06-16,9320.352539
793,2019-06-17,9081.762695
794,2019-06-18,9273.521484
795,2019-06-19,9527.160156
796,2019-06-20,10144.556641
797,2019-06-21,10701.691406
798,2019-06-22,10855.371094
799,2019-06-23,11011.102539
800,2019-06-24,11790.916992
801,2019-06-25,13016.231445
802,2019-06-26,11182.806641
803,2019-06-27,12407.332031
804,2019-06-28,11959.371094
805,2019-06-29,10817.155273
806,2019-06-30,10583.134766
807,2019-07-01,10801.677734
808,2019-07-02,11961.269531
809,2019-07-03,11215.4375
810,2019-07-04,10978.459961
811,2019-07-05,11208.550781
812,2019-07-06,11450.84668
813,2019-07-07,12285.958008
814,2019-07-08,12573.8125
815,2019-07-09,12156.512695
816,2019-07-10,11358.662109
817,2019-07-11,11815.986328
818,2019-07-12,11392.378906
819,2019-07-13,10256.058594
820,2019-07-14,10895.089844
821,2019-07-15,9477.641602
822,2019-07-16,9693.802734
823,2019-07-17,10666.482422
824,2019-07-18,10530.732422000001
825,2019-07-19,10767.139648
826,2019-07-20,10599.105469
827,2019-07-21,10343.106445
828,2019-07-22,9900.767578
829,2019-07-23,9811.925781
830,2019-07-24,9911.841797
831,2019-07-25,9870.303711
832,2019-07-26,9477.677734
833,2019-07-27,9552.860352
834,2019-07-28,9519.145508
835,2019-07-29,9607.423828
836,2019-07-30,10085.62793
837,2019-07-31,10399.668945
838,2019-08-01,10518.174805
839,2019-08-02,10821.726563
840,2019-08-03,10970.18457
841,2019-08-04,11805.65332
842,2019-08-05,11478.168945
843,2019-08-06,11941.96875
844,2019-08-07,11966.407227
845,2019-08-08,11862.936523
846,2019-08-09,11354.024414
847,2019-08-10,11523.579102
848,2019-08-11,11382.616211
849,2019-08-12,10895.830078
850,2019-08-13,10051.704102
851,2019-08-14,10311.545898
852,2019-08-15,10374.338867
853,2019-08-16,10231.744141
854,2019-08-17,10345.810547
855,2019-08-18,10916.053711
856,2019-08-19,10763.232422
857,2019-08-20,10138.049805
858,2019-08-21,10131.055664
859,2019-08-22,10407.964844
860,2019-08-23,10159.960938
861,2019-08-24,10138.517578
862,2019-08-25,10370.820313
863,2019-08-26,10185.5
864,2019-08-27,9754.422852
865,2019-08-28,9510.200195
866,2019-08-29,9598.173828
867,2019-08-30,9630.664063
868,2019-08-31,9757.970703
869,2019-09-01,10346.760742
870,2019-09-02,10623.540039
871,2019-09-03,10594.493164
872,2019-09-04,10575.533203
873,2019-09-05,10353.302734
874,2019-09-06,10517.254883
875,2019-09-07,10441.276367
876,2019-09-08,10334.974609
877,2019-09-09,10115.975586
878,2019-09-10,10178.37207
879,2019-09-11,10410.126953
880,2019-09-12,10360.546875
881,2019-09-13,10358.048828
882,2019-09-14,10347.712891
883,2019-09-15,10276.793945
884,2019-09-16,10241.272461
885,2019-09-17,10198.248047
886,2019-09-18,10266.415039
887,2019-09-19,10181.641602
888,2019-09-20,10019.716797
889,2019-09-21,10070.392578
890,2019-09-22,9729.324219
891,2019-09-23,8620.566406
892,2019-09-24,8486.993164
893,2019-09-25,8118.967772999999
894,2019-09-26,8251.845703
895,2019-09-27,8245.915039
896,2019-09-28,8104.185547
897,2019-09-29,8293.868164
898,2019-09-30,8343.276367
899,2019-10-01,8393.041992
900,2019-10-02,8259.992188
901,2019-10-03,8205.939453
902,2019-10-04,8151.500487999999
903,2019-10-05,7988.155762
904,2019-10-06,8245.623046999997
905,2019-10-07,8228.783203
906,2019-10-08,8595.740234
907,2019-10-09,8586.473633
908,2019-10-10,8321.756836
909,2019-10-11,8336.555664
910,2019-10-12,8321.005859
